sentence_id,base_form_id,word_index,source,source file,gloss_syllabary,gloss_phonetic,gloss_english
785db2ed5729,3db8b83dee970f14,1,,learning-to-use-the-cherokee-verb.csv,ᎤᏅᏨ,unvjv,He
38f4af301397,b534f84c7acd8550,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏓᏗ?,gà:dá'di,flag?
a78f20f014ca,37ca28e560da03d6,4,rrd,lily-dict.csv,ᎤᎸᎸᎢ,,he had bound him
94652edb85a1,e6a8286e29b0cae4,4,rrd,lily-dict.csv,ᏭᏯᏅᎲᎩ,,he called for
bc662c2d8bb9,27363a36c4b1042a,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏕᎦᎵᏃᎮᏍᎬᎢ.,de:gálì:no:hě:sgv́:'i,I was conversing
089d2c64fbd0,2ad747afc02dc0e7,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎪᏢᏅ,go:hlv:hnv̋,butter.
0b2ed07cec79,771383f92299f8b4,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎪᏍᏗᏳᏟ,go:sdì:yű:tli,dull
ffbd121aa3d1,d7e149415ebeedec,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏯᏙᎵ,hyahtő:li,narrow
2d91821a8927,6218b493c8528a97,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏙ,u:dó,Her brother
46502c6cf593,5b2c3447d9fdd02e,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎢᏳᏓᎵ,iyú:da̋:li,often
8aabfe0dc1e5,7f3e26d60e8299b0,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏁᎦᎸᎢ.,ù:né:ga'lv̋:'i,His skin
759992501e8d,d3b119d493863d8a,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏕᏥᏍᏚᏟᎠ.,dejí:sdudlí'a,I am sprinkling
33bb7b1f528a,34a500633311118a,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏰᏌᏛ,gá:ye:sá'dv̋,his finger.
0f897f7247ab,74a13b452244b220,6,rrd,lily-dict.csv,ᎤᏬᏪᎳᏅᎩ,,he was writing
e4a9f4ea5e8c,fd6e92be526ef008,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏟᏂᎩᏓ,u:hlini̋:gida,strong
01b9ad8439cf,138ccb65eebd690c,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,plants.
0d5d8de46385,45c2bcd0d0831d23,1,rrd,lily-dict.csv,ᎠᎾᎦᎵᏍᎩ,,lightning
fe7e7444397c,ce376f20d34af2ea,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏑᎠ.,gà:sú:'a,I am sopping
e9781d31408e,a92ac90be5ec59ca,3,rrd,lily-dict.csv,ᎭᏰᎳᏍᏗ,,the knife
8263675a22cd,499165dad2f9980b,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏦᎳ,jo:la,tobacco.
b289fef83232,dd11b36656c9c2ea,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏒᎯᏰᏱ,sv:hiye̋:yi,in the evening.
ac3ea1ad0e4f,5954b50e3d310420,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᏆᏂᏤᏍᏛ,sgwǎ:njè:sdv̋,New Mexico
8cd850485630,64fc970a077d1b52,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎭᏠᎨ,ù:hahló:ge,He's yawning
e6b58ef4894f,a8f6263a19d448a7,2,rrd,lily-dict.csv,ᏥᎪᏩᏘᎭ,,I see it
33a6d7ea99d4,c3ab97b87d298bbc,5,CNT,lily-dict.csv,ᏗᎦᎸᏉᏗ ᏅᏯ,digalvquodi nvya,precious stones.
33a6d7ea99d4,c3ab97b87d298bbc,6,CNT,lily-dict.csv,ᏗᎦᎸᏉᏗ ᏅᏯ,digalvquodi nvya,precious stones.
cd00bdc812e8,c8733106580405f8,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎯᎯᏙᎭ?,hihi:dô:ha,you have in your hand?
33ccd05491cd,e93db6dad02b87a5,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏅᎿᎦᎵᏍᏗ,di:nv̋:hnagalsdi,active
7084be575e1d,c066d717293a0716,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᏂᎦᏃᏣ?,ju:ni:ganò:ja,centipedes?
c4ee65587d0f,85d7b0292a2ce4ec,2,rrd,lily-dict.csv,ᎠᏴ,,I
580ab24a54db,d288845ad857bdd2,1,rrd,lily-dict.csv,ᎤᏬᎳ,,doth lodge
22f81776ec37,0c56981096240df0,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᏁᏌᏝ,kané:sahla,there's foreign matter in
ed507d4f9200,f4b206aa85b7ac7f,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏢᏓᎸᏓ,u:dlv:dalv̋:da,A splinter
3c874ee89995,d7754553172b6d91,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,home?
87798c6e6d15,59141f6248b00b1e,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏑᏓᎴᏁ,su:dali:né,sixth
6758b48c0173,b952bfacd3e9fc93,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎾᎳᏍᎦᎵᏍᎩ.,analà:sgali̋:sgi,ballplayers
0973e97a155e,78704af7a6d92c26,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,to stagger.
4ba149102af4,6797922bd3ec1df6,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏥᏅᏤᎭ.,jinv:jě:ha,I have
fcf4f7de0634,b28ff004dc8d1803,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏓᏬᎵ,dawó:li,mushrooms
b2d8014abc5c,ddb7451f5f2e4a1c,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏏᏅᏓ,si:nv̋:da,one month
cd89d1b564f2,a20186fec2424374,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏕᎸ,ù:dé:lv́,He gave
465ad4b46f24,3c72ee832dc117dd,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎡᎳᏗ,e:ladi,down.
446cd63815e4,20719ceb43320e99,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᏅᏑᎸ,kanv́:su:lv̋,room
a301b1a20b1a,64bd44efa1b63764,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏗᏙᏗ,adi:tóhdi̋:,spoon.
6d96f67be92d,1e2f659b4ed4b295,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏥᎩᎵᎵ,jigili:li,a chickadee
75a821adea80,af79b4bd9080ae21,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᎦᏰᎬᏍᏓ,asgaye:gv:sdá,officer
514763b5d9c8,c88a4204587eb7a1,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏂᎧᏃᏩᏗᏙᎯ?,di:ni:kanowadi:dő:hi,angels
53ba38ee33f0,e5b8c00ece1f5b99,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎴ,ale,or
1927dfd6bbc6,48f300a6f1db1970,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎵᏍᏇᏚᏬ?,alsgwè:tuwóʼ,hat?
8f68f19b8edb,e041bd4780b162af,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎧᏄᎾ.,kanǔ:na,bullfrogs
17d968dff9ca,3101d4b16a03b229,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏪᏌᏍ,wě:sás,a cat?
031cbc0a1b28,5c3941cc231f0430,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏛᎯᏍᏗ?,u:tvhisdi,old chap?
2e30ba9471ed,e9cd70006ea9743d,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏗᏞᎦ,u:di:hlehga,hot
be20673ef221,20989d8515334430,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎥᏍᎩᎾ,v̀:sginá,that?
23b97723b0ac,7c0695c191c970d8,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏓᏁᎪᏳᎭ.,u:dané:go:yǔ:ha,is wrinkled.
ea14df8e2bdf,b5fe1dd88df03088,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏌᏛᏗ,di:sadv́:di,traps.
2acae8483753,5df4469a987de0b3,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎲᏜᏓ,hv́hdlada,Put out
9225daa1cbd6,64ee0df0834b57bc,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏑᏓᎴᎩ,su:dale̋:gi,one thing.
7f7455f4f922,b7a05115abe29b29,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏛᎦ,tvhga,flies
fac504a27eaa,27009e98c91c14d2,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎯᎯ,di̋:hihi,killer.
c71cc23c5463,7cee4432ac5c7d82,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᏍᏗ,tûsdi,boil.
9f7bf9226ee8,cc1ed87dbe67f79d,5,rrd,lily-dict.csv,ᎢᎦ,,noon
8b158a17b7ff,87e90047c884943c,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏕᎰᏒᎢ.,ù:de:hǒ:sv́:'i,he got embarrassed.
a8dcf84ddfa4,4d0716a4190d7ff5,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎵᏍᏕᎸᏙᏗ,alsde̋:hldohdi,assistance.
3b8df919614b,b38da241aad3f4e4,3,rrd,lily-dict.csv,ᏅᏃᎯ,,the way
c61ecf1f520b,50bf328674e5b53d,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏴᏍᎩᏱᎭ.,ù:hyvsgǐ:yí:ha,is choking him.
36ce3acfd1ba,e73a1587f94ed98d,4,rrd,lily-dict.csv,ᏓᏕᏲᎲᏍᎨᏍᏗ,,teach [them]
81617d365952,da7bfa01c3867053,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᏘ,asti,string
435978b5ae7f,ff961904f6992b53,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᎪᎩᏍᎬ,à:sgogí:sgv̋: g,gnawing it.
dd495f78f64e,c0d360a6d339fc06,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏐᎯ,ga:sohi̋,back
e0a0ec7b360b,e78850333c95ca7f,2,rrd,lily-dict.csv,ᎠᏂᏍᏙᏍᎨᏍᏗ ᎠᏍᏙᏍᎩᏱ,,shall be grinding in the mill
e0a0ec7b360b,e78850333c95ca7f,3,rrd,lily-dict.csv,ᎠᏂᏍᏙᏍᎨᏍᏗ ᎠᏍᏙᏍᎩᏱ,,shall be grinding in the mill
b6cbf3a97f11,d53ed5f7038fe5f2,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎾᏓᎯᎯ,anada̋:hihi,killers
fa7960ee867d,4f028e4aac07202e,7,CNT,lily-dict.csv,ᎢᎪᎷᏅᏗ,igolunvdi,fathoms
828880b88aaa,6e101f865dd91d1e,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏌᎶᎵ.,salǒ:li,a squirrel
20713a2405c3,4774d161e80c1a37,3,hsbc,lily-dict.csv,ᎯᏍᎩᏦᏁ,hisgitsone,twenty-five
da91e18d53e5,e7fd31c5e18b51d7,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᏬᎥᎢ.,dù:wó:'v:'î,He baptized
719af832159d,cf2db4f8b964ca66,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᏓᎴᏅᏓ,ju:dale:hnv̋:da,various
1af27ca10267,f601e2b55bad87ca,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏥᏆᎸᏛ,ù:tsgwalv:tv̋,his ankle
7d74efe1e796,f629a56b982d2215,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏯᏛᏁᎢᏍ,ù:hyahtvhné:'is,Did it frost
0d7d4a8b2a13,2bb965240ab824c0,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏍᏆᎶᎪᎢ.,asgwalô:gó:'i,it becomes shorter.
d5b0546b3415,6e5878befce2a00c,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᎦᎹ,gǎ:gáma,cucumbers.
9825d2932c84,6e49ecb8a8a026ce,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏠᏱ,u:hlő:yi,same kind of
53d7b13446a9,8b2934db15690521,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎬᎭᎸᏓ ᏍᎬᏏ.,agv:halv̋:da skvsi,a piece of cake.
53d7b13446a9,8b2934db15690521,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎬᎭᎸᏓ ᏍᎬᏏ.,agv:halv̋:da skvsi,a piece of cake.
c02ebe37dd5e,fee4573001d20b2f,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎦᏅᏠᏍᏗ,diganv̀:hlǒ:sdi,brakes.
d99b1ca21677,face012b7a598770,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏨᏍᏗ,di:jv̋:sdi,lights
91b901101f66,0b008466b3af6b0c,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎵᎪᏛᏅᎢ.,ù:lhko:dv:hnv̌:'i,it shattered.
d23ff5f36efe,32aaf37b823e2df7,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎩᏟᏱ,agi:tli̋:yi,agony
148ed6578263,d8a7c7acd4768f49,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᏌ,uwa̋:sa,by himself.
5b76af870135,808398a6d156cd37,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏩᏘᏍᎪᎢ.,à:hwahtǐ:sgó'i,he finds it
cb3dd4e80f1e,f701504b2417111b,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏝᏬᏚᎯ,hlawò:tuhi̋,in the mud
0c0b954945ed,c55cc6655eac8f19,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᎩ,gá:gi,Who
8b10c1a71b70,122b7d9b261dc861,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏑᎲᏍᎦ?,à:su:hv́sga,is he fishing?
468754949dbf,cd572e0ac4128ada,4,rrd,lily-dict.csv,ᎢᏥᏯᏪᏐᎸᎦ,,rest
7bbad0846dc8,1601ac3d57d66bf5,0,hsbc,lily-dict.csv,ᏔᎵᏦᏁ,Talijone,
4b19af467c0b,1c99034cfe28fcdb,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᎾᏄᏬ,dù:nahnúwó,wear
26005d19e199,6c2ae0024f19747e,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏌᏛᏅ,ù:sadv̂:nv́,He set a trap
d81d58ac4579,a4c922500c2cf19e,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏣᎾᏍ,janá'as,Do you have
20ecc3bb54bf,9b8ddd7b713031a2,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏰᎸᏗ,uye̋:lhdi,reason.
7f0a4b8a1f28,37d454170329957b,4,rrd,lily-dict.csv,ᎦᏗᎨᏂ,,his heel
b45ec5fff979,5eb1206f75f70254,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏓᏗᏅᏒᎢ.,ù:dadi:nv̂:sv̌:'i,bounced.
cf1f901ef45c,619fdbd097faf810,4,rrd,lily-dict.csv,ᎤᎵᏍᏓᏴᏗ,,food
64f551a7c10f,b829803ea8edcd44,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏓᏝᏁᏌᎵᏗ,ada:hlane̋:salhdi,purse.
50a1c93c171d,f5ce8ed1c85791e9,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏲᏍᏔᏃᏅ,ù:yó:stanohnv́,destroyed
b39feec2983c,e2463b6dbaaaca20,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏙᎵᏓᏍ,atő:lidas,borrowed?
6a83a9360617,1fbd70ec2bce9368,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎩᎦ,gǐ:ga,blood
a772aca43f19,ce0c9a4779944423,5,rrd,lily-dict.csv,ᎦᏕᎶᎣᏍᎦᏍᎩᏂ,,perceive
138297574ff6,06ee0614f2e5a4e7,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎵᎥᏂᎸᎢ.,ùlv́:hnilv̌'i,spanked
c813bd7f0616,1b9f3f7f65d1c4a3,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎯᎳ,hilá:,What
01ced55820f1,e070eef42d0a667c,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎩᏍᏗ,ágì:sdi,something to eat
c15471403c0c,e8732ecc408347be,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,to eat
8b6b3eecd75e,37212c096da4eb03,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏧᎬᏩᎶᏗ,ju:gv̋:walhdi,price
09f1d11394c9,f0fc857b68114900,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎬᎮ,gvhé,a bobcat
2e6ee211bf0e,f7340d5c66e03a00,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᏂᏙᎴ,ùwa:nǐ:dô:lé,had
56956a0b81ea,67ab8fc1a650b193,4,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏳᎳᏍᎦᎸᎮᎢ.,yu:lâ:sgalv:hé:'i,play ball
5b454092a142,9c3d4f2f91e55d32,2,rrd,lily-dict.csv,ᎭᏫᏯ,,flesh
be8979bab1b5,90b98d648bb93c1d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,to pray.
a31d35f3be09,34f75105243d7ee6,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏕᎯᏯᎴᏔᏅᎢ.,de:hí:yalè:tanv́:'i,help him up.
9d951723d25d,c518ecb6974518b0,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏥᏈᏍᏗ,tsgwi̋:sdi,many
1d0a4796a804,51ce0c6ae1461e37,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎢᏯᎦᏴᎵ,iyágayv̋:li,thousand
6ebd630ee081,7827eeefa6ed52c1,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏍᏗ ᎦᏅᏅ,usdi̋ ganv:hnv́,trail.
6ebd630ee081,7827eeefa6ed52c1,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏍᏗ ᎦᏅᏅ,usdi̋ ganv:hnv́,trail.
ae303941ca0f,56bbfbff8eb643f3,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏓᏁᎸᎢ.,à:da:ně:lv̋:'i,building.
b974ad208352,31c871582beaaa19,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᏭᏅ,dù:wu:hnv́,She boiled
61abf596c834,7b58b9e4675897f3,6,rrd,lily-dict.csv,ᎤᏂᏴᎲᎩ,,caught
add980fc6298,6150e4d94bf913b1,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏓᏁᎸ,di:dá:ně:lv̋,home
3222bdbd1113,56a188f94e82be74,5,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏩᏥᏍᎦᏢᎢ?,uwa:ji:sgahlv̋:'i,scales
2ad8a8d5e18a,8f08d3b35fa9d7cf,2,rrd,lily-dict.csv,ᎤᎾᎪᎸᏒ,,did turn aside
5a05cf274877,7fba5b5bc04a1026,6,rrd,lily-dict.csv,ᏣᏚᎦ,,dost thou owe
fa3b600a2e69,765843371d3f733d,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏣᏁᎫᏗᏍᎬ?,jane:gú:dì:sgv̋,bewitching you?
2f054b84e40b,c618ced9ad543725,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏬᏘ,nv:wô:ti,medicine
67b3dd71aad3,3bafcc59ca68d091,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏘᏲᏍᏗ,atiyő:sdi,argument.
2eda3febb0e4,4a4a3619c176b44e,5,rrd,lily-dict.csv,ᎤᎾᏍᎪᏒ,,they have digged
8b562dba40d2,70db624e8f054bab,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎱᎸᏂᏍᏗ,u:hu:lv̌:nî:sdi̋,hit him on the mouth
e49c254270b6,2524951ef15668df,6,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,move.
d393fcb5e569,33d1f06ceebcc22f,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏕᎫᏓᎸᎥᎦᏍ,de:gú:dalv́'v[s]gás,he hook up
ac8cb6203b76,0e1595f66eb24b70,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎨᏥᎪᎵᏰᏗ,ge:jigo:lǐ:yê:di̋:,clinic
7cb73dac3dd4,6032a2e5be2929c2,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏂᏓ,ani̋:da,chicks.
4ab9091aab31,1bc5cd507f3f99d8,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᏚᏗ,sdù:di,gate
9e8b6fe66f58,ddcfe8c2f3098194,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎦᎸᏅᎯ,digalv:nv̋:hi,dumplings?
014b3afaa8e2,c5800fdffd4917fb,11,hsbc,lily-dict.csv,ᏐᏁᎳᏦᏁ,soneltsone,twenty-nine
d7838992eb32,a1d91670f16a5908,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏁᏫᏛᎲᎢ.,ú:ne:hwi:dv:hv̌:'i,He took
ed858279694f,6572252ef3fd23bf,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎢᏧᎳ,ijú:la,Both
47beddd0adb7,9edb1644c290a2b4,2,rrd,lily-dict.csv,ᎤᎩᏒᎩ,,take
f2b916706b8d,e7491851e4db731a,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏃᏊᎴ,nǒ:gwú:lé,and then
24d45fe5ec4d,54249692ffe74985,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏂᏰᎦ,gániye:ga,dangerous
adef388d33d7,e63bb60baf36d38a,2,rrd,lily-dict.csv,ᎩᎾᏘᏲᎸᎩ,,strife
adef388d33d7,e63bb60baf36d38a,8,rrd,lily-dict.csv,ᎩᎾᏘᏲᎸᎩ,,strife
610e293236ff,cf47fe69dd97cd4c,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏂᎿᏑᎦ,ù:ni:hnà:sǔga,grapes.
20f7c12983ab,ff833872b164f9ce,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏆᏄᎾᏍᏗ,kwanú:nsdi,plums
bff1f80467fd,b299252fb51cd5e6,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ,anadaně:dlí:yv̀:sdi̋:sgi,substitutes.
4ec2f236c2fb,d9b9ad4843b1ab63,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏘᏅᏠᎦ!,tinv́:hlò:ga,Put your brakes on!
6e7488fd94e1,65f131753ee9d67f,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏠᎩ?,u:hlogi,her aunt
dad842c30f0b,fcbd34a1d83c322c,1,,learning-to-use-the-cherokee-verb.csv,ᏱᎪᏩᏘ,hyigowhti,you see it
d40fc92f2b6d,e30306bcea2fd4da,3,,learning-to-use-the-cherokee-verb.csv,ᎠᏛᎩᏍᎪᎢ,atvgisgoi,He hears
2422f24e2b7c,ca57e669f1a9744d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏙ ᎤᏍᏗ,gado ű:sdi,Which
2422f24e2b7c,ca57e669f1a9744d,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏙ ᎤᏍᏗ,gado ű:sdi,Which
e91cc32219c0,1d9789bb810dd355,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᏗᎦᎴᏴ,dù:di:galé:yv,He scattered
2645fad29c70,53bd4e38035fade9,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎯᏃᎯᏰᎢ?,hi:no:hí:yé:'i,Did you omit him
69b891cd3052,588888436053e6b4,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏕᏥᎸ,dě:jî:lv́,I killed
61699109edb0,2e61563d1ff500bb,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏱᏛᎨᏩᎦ.,yidv̀:ke:wâ:ga,you'll become blind.
be32a5af90de,85589ea48685dc50,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᎦᏘᏯ,akti̋:ya,guard
faff90d398c6,7576f186c10f889d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏔᎷᎩᏍᎩᏍ,talu:gì:sgís dikanv:wi̋:sgi,a welder?
